SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,YearsOld
1551,4,3,Urban,2009,162746.3433,13
2636,2,1,Urban,2002,238731.5483,20
1110,4,2,Suburb,1972,208599.6744,50
1384,4,2,Rural,2001,203600.6686,21
2856,3,3,Suburb,1969,209688.5136,53
1760,2,2,Urban,1983,294909.8601,39
2214,3,1,Suburb,1981,302092.9,41
2513,3,3,Suburb,1976,185674.2418,46
1693,4,3,Rural,1959,234797.3642,63
2449,4,3,Suburb,1983,167723.3251,39
1404,5,1,Rural,1981,167976.0435,41
2358,5,2,Suburb,1991,255041.012,31
2232,2,1,Suburb,1962,267089.9585,60
1021,4,2,Rural,1977,198994.8968,45
1677,5,1,Rural,1980,202347.9881,42
1610,3,1,Suburb,1957,201406.4962,65
2231,4,3,Rural,1961,266120.0016,61
1007,2,3,Suburb,2020,59661.38572,2
1701,2,3,Suburb,2005,162217.5575,17
2710,3,1,Rural,1979,380553.8676,43
2808,5,1,Urban,1964,278037.715,58
1528,3,2,Urban,2019,219001.1348,3
1601,5,1,Urban,1997,132255.941,25
2676,4,2,Urban,1965,255584.8401,57
1656,2,3,Rural,1963,189173.5241,59
1165,5,3,Suburb,1982,161827.0997,40
1848,3,1,Urban,1995,156902.235,27
1495,4,2,Suburb,1982,69340.73832,40
1589,5,2,Rural,1987,257647.2557,35
1428,4,3,Rural,2011,130237.373,11
1773,4,1,Urban,1977,213229.3405,45
1162,3,2,Suburb,1991,118572.3568,31
1365,3,2,Rural,1970,123826.602,52
2549,4,2,Urban,2010,256036.1381,12
2262,4,3,Suburb,2007,288645.2078,15
1071,5,1,Urban,1974,163226.452,48
2468,3,2,Suburb,1956,346804.9577,66
1654,5,1,Suburb,1981,151354.323,41
2845,2,2,Suburb,2012,282746.4127,10
2532,5,3,Rural,1973,263534.7669,49
2818,4,1,Urban,1972,389824.0649,50
1268,2,2,Suburb,1988,89185.69181,34
2776,5,3,Suburb,1954,418034.0365,68
1414,2,3,Urban,2009,145481.1722,13
2268,3,3,Rural,1962,258049.2152,60
2015,5,2,Urban,1981,218059.6315,41
1674,5,3,Suburb,1995,268735.3884,27
2083,3,3,Suburb,2021,160445.7265,1
1005,5,3,Urban,2011,169669.9968,11
2732,2,3,Urban,1981,252190.3498,41
1981,3,3,Rural,2020,159982.0061,2
1569,2,2,Suburb,1992,192192.9627,30
2840,5,1,Suburb,1984,334441.2324,38
1406,5,2,Urban,1996,182783.4722,26
2240,5,2,Urban,2002,343054.1785,20
2953,5,2,Suburb,1958,395123.2718,64
1025,2,1,Suburb,1982,77465.45584,40
2838,5,1,Rural,1982,368397.788,40
2028,3,3,Suburb,2004,192457.721,18
1985,3,1,Suburb,1976,235096.547,46
2555,4,2,Urban,1981,231931.3518,41
1389,3,3,Rural,1982,169288.5503,40
1709,4,1,Suburb,1955,148607.4458,67
1570,3,2,Urban,2014,265378.1667,8
2471,3,3,Suburb,1957,209649.835,65
1753,5,3,Suburb,2013,237262.9049,9
1145,3,3,Rural,1978,36721.24033,44
2411,5,2,Suburb,1967,226287.0934,55
1784,5,3,Urban,1983,277987.0993,39
2272,3,2,Suburb,2021,282041.8344,1
1525,2,1,Urban,2006,117333.402,16
2485,5,3,Suburb,1959,290190.2508,63
1012,3,1,Urban,1984,112397.3877,38
1902,2,3,Urban,1957,154630.1133,65
1383,3,3,Suburb,1960,171246.7744,62
1555,3,3,Urban,1954,73928.49757,68
1886,2,2,Urban,1973,181193.3054,49
2422,3,1,Suburb,1985,360911.487,37
1018,5,3,Suburb,2018,100794.9378,4
1574,4,3,Suburb,1979,170165.559,43
2514,4,2,Rural,1987,315115.5862,35
1750,3,3,Urban,1975,215321.5242,47
2003,4,2,Urban,1988,133072.2712,34
1418,4,3,Rural,2016,115452.2734,6
2360,4,1,Rural,1986,269471.6828,36
1418,5,2,Urban,1963,100606.6418,59
2938,5,2,Suburb,2008,402386.0112,14
2939,4,3,Rural,1972,329127.9912,50
2635,2,1,Rural,1960,267514.1929,62
2698,2,3,Suburb,2017,341818.1336,5
2951,2,2,Suburb,1980,332296.3979,42
1121,5,3,Urban,1990,178976.8017,32
1431,5,1,Suburb,1983,82014.85086,39
1043,5,2,Rural,2015,158715.0236,7
2895,5,1,Urban,2015,330943.6816,7
2943,4,1,Urban,1950,300359.6375,72
2340,5,2,Urban,1978,204292.847,44
1380,4,1,Suburb,2006,197024.1128,16
1144,2,3,Suburb,2012,57599.50209,10
2350,4,2,Suburb,1997,313761.4731,25
1362,2,1,Suburb,1985,145240.0133,37
2073,5,1,Rural,1952,230607.7768,70
2088,2,3,Rural,1998,202493.0041,24
1354,2,3,Urban,2007,113307.3151,15
1799,4,3,Rural,1985,165266.0355,37
2187,2,3,Suburb,1994,158071.0456,28
2164,3,1,Suburb,1983,244073.8881,39
2989,2,1,Rural,1971,256011.435,51
1825,5,1,Rural,2014,213918.0859,8
2151,2,2,Rural,2011,170678.8731,11
1397,3,1,Suburb,2001,156713.1232,21
2956,4,2,Suburb,1975,329518.2122,47
1879,2,1,Urban,2018,182428.5086,4
1462,3,3,Urban,1955,290439.4212,67
2774,5,1,Urban,2007,244348.2392,15
2859,5,2,Rural,1985,304942.3899,37
1807,4,3,Rural,1995,154741.309,27
1186,5,1,Suburb,1970,147073.7371,52
2743,3,2,Rural,2004,240920.5436,18
1731,2,1,Suburb,1992,197862.0568,30
2935,3,3,Suburb,1984,315214.1719,38
2213,4,2,Rural,1963,324940.3917,59
2411,2,3,Rural,1974,331156.3907,48
1428,3,2,Suburb,1988,219792.3086,34
1857,4,3,Suburb,2016,223450.834,6
2307,4,2,Suburb,2019,262586.5221,3
2887,2,2,Rural,2002,308056.9585,20
1236,2,1,Suburb,1961,78638.04969,61
2217,5,3,Urban,2006,301046.6117,16
2310,5,1,Suburb,2009,334926.1925,13
1770,2,3,Rural,1985,215555.4117,37
1757,5,3,Suburb,2014,133658.0126,8
1135,2,1,Urban,2012,112940.4067,10
1791,5,2,Rural,1987,166739.2691,35
2806,3,3,Suburb,1980,289044.9798,42
1170,4,2,Suburb,1966,145635.9122,56
1158,2,3,Rural,1983,197037.5414,39
1200,2,1,Rural,1996,43816.18277,26
2510,2,2,Suburb,2001,206427.1064,21
2580,3,1,Suburb,1992,217321.2939,30
1961,4,3,Rural,1978,169713.9908,44
2799,5,1,Rural,1971,305058.5723,51
1582,5,3,Suburb,1987,224299.1978,35
2527,4,2,Rural,2011,274959.631,11
1875,5,2,Rural,1984,175137.9177,38
1370,2,1,Suburb,2004,177982.3686,18
1102,4,1,Suburb,1993,213964.105,29
2001,3,2,Rural,1955,201293.8381,67
2148,4,1,Urban,1968,293643.5467,54
2336,2,1,Rural,1961,263539.1783,61
1975,4,2,Rural,1976,261104.317,46
1797,3,3,Urban,1982,286124.2491,40
2481,3,1,Urban,1986,284015.4111,36
2253,4,1,Urban,2007,241487.041,15
1657,4,2,Urban,1980,178682.0302,42
1881,5,3,Rural,1996,291921.2309,26
2220,5,3,Urban,2015,180708.241,7
2908,2,1,Suburb,1969,299214.8462,53
1732,5,1,Rural,1978,233278.5073,44
1422,2,3,Suburb,1974,197117.8677,48
1571,2,1,Suburb,1961,62387.83194,61
2633,4,3,Rural,1957,293014.6742,65
1170,5,1,Rural,2012,115512.5663,10
2405,3,1,Rural,2016,321874.8022,6
1172,3,2,Urban,2010,142031.0589,12
1662,4,3,Urban,1977,205779.7484,45
1452,3,3,Suburb,1964,134067.4885,58
1349,3,1,Rural,2005,136827.2608,17
2925,4,2,Suburb,1954,379199.7408,68
2975,3,3,Suburb,2011,419473.8655,11
2657,4,1,Urban,1953,327764.3953,69
1493,2,1,Rural,1976,158599.9026,46
1619,5,2,Urban,1953,159246.0139,69
2027,3,3,Urban,2013,237960.032,9
2116,4,3,Urban,1963,236556.081,59
1918,3,1,Urban,1950,175593.2509,72
1005,5,1,Rural,1980,93865.33791,42
1287,3,2,Urban,1961,257353.0662,61
2641,2,3,Suburb,1957,351960.2498,65
2169,4,3,Urban,2011,306298.2129,11
2806,5,2,Urban,1972,314030.2173,50
2447,2,3,Urban,2014,275806.5823,8
2913,3,2,Rural,2014,387898.7192,8
1607,3,3,Urban,2007,177022.6839,15
1456,3,2,Urban,1995,109148.3473,27
2764,5,2,Suburb,2011,258867.2743,11
2225,4,1,Urban,1985,270687.7233,37
2235,5,3,Urban,1952,356364.8049,70
2029,2,1,Rural,1969,325045.2922,53
1623,4,2,Urban,2013,247754.5852,9
1375,5,2,Urban,1986,192213.7702,36
2914,3,2,Urban,2011,395447.6402,11
1446,2,3,Suburb,1963,174944.1574,59
1834,3,1,Urban,1990,245211.0471,32
2129,5,2,Rural,2015,400904.9584,7
2674,2,3,Rural,1953,251498.642,69
1810,4,2,Suburb,1959,178459.9288,63
2424,4,2,Urban,2020,217752.8393,2
2119,5,2,Suburb,1968,270690.4631,54
2411,5,2,Urban,2020,314413.581,2
1958,4,1,Rural,1976,196576.0629,46
2475,4,2,Urban,1983,301447.5308,39
1848,5,2,Suburb,2018,240234.9262,4
1808,4,1,Suburb,1989,251143.4765,33
1978,2,1,Rural,1989,183809.2358,33
2924,5,2,Suburb,1975,322540.5503,47
1415,2,1,Rural,2000,172126.5098,22
1725,3,1,Rural,1984,163922.6009,38
2527,2,1,Suburb,1955,231014.6735,67
1453,5,1,Rural,2010,220918.4592,12
2314,3,2,Suburb,2010,228523.9023,12
2557,4,3,Urban,1968,308200.3917,54
2216,2,3,Rural,1984,155904.8156,38
1149,2,2,Urban,1975,156762.814,47
2903,5,3,Urban,1984,332220.7964,38
1758,4,1,Rural,2000,170390.328,22
1778,5,3,Suburb,2009,286020.5132,13
1972,4,2,Suburb,2016,235195.3555,6
1762,5,3,Urban,1954,186024.7633,68
2001,4,2,Suburb,1994,206035.8761,28
2538,3,3,Rural,2009,241594.4158,13
2416,5,1,Urban,2009,252552.8834,13
2339,3,1,Suburb,1978,230431.9473,44
1075,5,1,Suburb,1993,88959.52023,29
1598,5,3,Urban,1969,185041.9712,53
2293,5,3,Suburb,2003,258498.1849,19
1224,2,3,Suburb,2005,98663.4792,17
2553,5,1,Urban,2005,358239.8358,17
1112,4,3,Urban,1989,112197.8361,33
1250,2,3,Rural,1971,149365.791,51
2256,4,2,Urban,1996,333306.1952,26
1840,4,1,Urban,2009,202550.8184,13
2814,4,3,Urban,1985,262147.6258,37
1713,4,2,Rural,1983,199599.6522,39
2106,4,2,Urban,1983,272900.053,39
1124,3,2,Urban,1976,73418.10583,46
2198,2,1,Urban,2014,211487.7225,8
2092,4,2,Urban,1978,235097.0556,44
2070,3,1,Rural,1981,231480.8329,41
1883,3,2,Suburb,2006,171211.4689,16
2279,4,3,Rural,1962,184965.0498,60
2750,5,1,Suburb,1985,273964.4724,37
1029,4,1,Suburb,1962,134257.3933,60
1280,3,3,Rural,1995,202712.2575,27
1923,4,2,Suburb,1954,119833.2808,68
2260,3,1,Urban,2002,239332.0647,20
2271,4,1,Urban,1966,334474.7383,56
1367,3,1,Rural,1951,291972.2524,71
1494,4,1,Suburb,1974,62533.35548,48
2048,5,1,Urban,1956,260456.7853,66
2609,5,3,Rural,1983,271235.5935,39
1717,3,1,Rural,1975,158448.0219,47
2513,5,1,Suburb,2007,318228.5831,15
2016,5,3,Suburb,2010,215835.3344,12
2517,2,2,Rural,1969,353065.1118,53
2337,4,1,Suburb,2014,258413.0402,8
1605,4,3,Urban,1971,218725.8768,51
1374,5,3,Rural,1966,161030.2892,56
1638,5,2,Rural,2012,294997.6823,10
2960,3,1,Rural,2015,244051.4677,7
2048,4,1,Rural,1965,232259.7051,57
2357,2,2,Urban,2004,212249.598,18
2378,2,3,Suburb,2005,194696.6722,17
1115,5,3,Suburb,1992,114072.0294,30
1047,3,3,Suburb,1959,114776.2548,63
2761,3,2,Suburb,2002,275062.947,20
2801,4,2,Suburb,2009,316486.3813,13
1098,5,3,Rural,1964,33289.35876,58
2482,5,1,Suburb,1953,334159.8125,69
2546,3,1,Rural,1996,371402.9764,26
2620,2,3,Suburb,1971,271067.4132,51
1404,2,1,Urban,1985,193297.0207,37
2237,4,3,Urban,1971,263629.7989,51
1684,5,3,Urban,1968,102641.9577,54
1902,5,1,Suburb,1960,172587.4989,62
1502,2,1,Suburb,2021,94130.38846,1
2744,5,2,Suburb,2014,288048.8084,8
2471,5,1,Suburb,2015,378171.4112,7
1893,3,1,Suburb,1964,163192.9958,58
2599,4,1,Urban,1978,258318.4065,44
1257,4,1,Suburb,1964,161257.1439,58
1843,4,3,Rural,2004,191445.8343,18
1120,3,1,Suburb,2008,165662.7441,14
1809,4,3,Urban,2010,260102.0735,12
1977,4,3,Urban,2006,260362.4511,16
1053,2,2,Suburb,1971,43639.11875,51
2018,2,3,Suburb,1979,195827.8563,43
2354,4,1,Suburb,1974,242161.2853,48
1783,3,2,Urban,2016,153279.3638,6
1240,3,2,Urban,1958,162496.3041,64
2778,3,2,Suburb,1983,347405.0774,39
2553,5,3,Urban,2013,306731.446,9
1482,5,3,Urban,1972,135080.0175,50
2012,3,3,Suburb,1959,254259.2394,63
1186,2,2,Suburb,1995,171067.6468,27
2881,5,3,Urban,2000,346938.4488,22
1655,3,3,Suburb,2011,229225.5268,11
1261,5,2,Suburb,1988,164113.8261,34
1952,5,2,Urban,2014,320777.5274,8
2387,5,1,Rural,2021,250431.3919,1
1490,5,2,Rural,2016,107439.2918,6
1430,3,2,Rural,2002,111865.1912,20
1238,5,2,Urban,1992,240394.6922,30
1303,4,1,Rural,1967,202418.3735,55
1297,3,1,Rural,1983,121535.7583,39
1075,3,1,Urban,1958,156675.8168,64
2723,3,2,Suburb,1951,265314.7596,71
2356,5,1,Urban,1964,198571.6081,58
2923,3,2,Suburb,1958,345776.2667,64
1998,2,3,Suburb,2009,256245.0814,13
2781,4,1,Suburb,1960,322826.4647,62
1641,2,3,Rural,2010,137435.5092,12
2497,4,2,Urban,2011,228327.167,11
1826,4,3,Suburb,1970,221960.3099,52
2946,5,1,Urban,2014,303946.0857,8
1282,4,1,Urban,1969,160468.3941,53
1590,4,2,Urban,2000,312019.1247,22
1071,2,1,Suburb,1957,201216.5655,65
2286,4,3,Rural,1996,289261.1566,26
1702,3,3,Suburb,1964,233203.1918,58
2902,3,1,Urban,1968,318586.5563,54
2910,4,1,Rural,1973,344763.2516,49
2965,3,2,Rural,1962,251269.9438,60
1574,5,3,Rural,1993,209029.437,29
1999,3,1,Urban,1956,207920.2126,66
1891,5,3,Suburb,2020,237686.1115,2
1011,4,2,Urban,1997,152381.3277,25
1140,5,3,Urban,1964,91900.69611,58
2789,5,2,Suburb,1961,246628.0101,61
2578,4,3,Urban,1977,270229.1476,45
1016,4,2,Urban,2007,129447.86,15
2086,5,1,Urban,1980,205497.0535,42
1252,2,1,Suburb,1953,281879.9064,69
1464,4,2,Suburb,2007,229353.7218,15
1375,4,3,Rural,2007,104943.8742,15
2827,2,3,Suburb,1990,299611.5195,32
1980,3,3,Suburb,1971,215799.9373,51
1519,2,1,Rural,1998,190502.1441,24
2860,3,1,Rural,1980,254245.0005,42
1089,2,3,Urban,1989,123238.4284,33
1719,5,1,Rural,2019,118958.4166,3
1803,4,1,Suburb,1969,179287.5979,53
1795,2,1,Rural,1985,154306.8731,37
1629,4,2,Suburb,2014,179365.654,8
2884,3,2,Urban,1992,388871.8514,30
2198,5,1,Urban,1990,287773.7266,32
1075,4,1,Rural,2016,104596.8299,6
2636,2,1,Urban,1997,266521.0785,25
1925,2,3,Rural,2019,172195.137,3
2686,5,2,Rural,2010,334981.8028,12
1399,3,3,Urban,1963,106921.3606,59
2805,5,1,Urban,1973,357807.8156,49
1969,5,1,Suburb,2016,290435.874,6
2094,4,3,Rural,1994,210711.071,28
2203,3,1,Urban,1993,224132.8456,29
2147,5,2,Urban,2014,268554.3571,8
2404,4,2,Urban,2014,205365.1479,8
2316,4,1,Suburb,1979,238032.2436,43
1796,3,2,Suburb,1973,214568.0226,49
1194,3,1,Urban,1987,74284.36671,35
2934,4,1,Urban,1976,279979.0243,46
1227,3,1,Urban,1983,142137.1855,39
2454,4,2,Urban,2003,206995.5176,19
2965,3,3,Rural,1956,411872.3898,66
2459,3,2,Suburb,2009,226787.2977,13
2810,3,2,Suburb,2021,341327.6243,1
1460,2,3,Suburb,1958,164937.9049,64
1617,3,2,Rural,1955,160310.1216,67
2044,2,1,Suburb,1951,258654.1233,71
1063,4,2,Suburb,1958,197643.6487,64
1164,5,1,Rural,1998,209892.2124,24
1026,5,1,Suburb,2019,206669.0194,3
2334,5,2,Urban,1950,349978.138,72
2011,4,3,Urban,1959,134841.1066,63
1284,3,2,Urban,2002,225073.7707,20
2683,2,2,Rural,1969,255211.5501,53
1280,4,2,Rural,1991,190984.2533,31
1837,5,1,Suburb,1968,205935.3369,54
1830,5,1,Suburb,1998,196297.5071,24
2187,5,3,Urban,2021,292337.8737,1
2921,5,3,Rural,1957,334213.0127,65
1917,2,2,Suburb,2004,170041.2874,18
1223,5,3,Urban,1968,223705.1528,54
1783,2,2,Suburb,1982,197295.9584,40
2169,5,1,Urban,1973,246396.1653,49
1964,4,2,Urban,1998,280086.8142,24
1949,2,2,Suburb,2016,198708.2902,6
2891,2,2,Urban,1952,267131.054,70
2053,4,2,Suburb,2002,166792.1291,20
1044,5,3,Suburb,1950,185516.9512,72
2810,5,2,Suburb,1976,266085.8717,46
1470,3,1,Urban,2000,282128.2234,22
1033,3,2,Rural,1980,194930.48,42
1652,2,1,Rural,1977,213160.899,45
2450,3,3,Suburb,1965,174168.786,57
1829,4,2,Urban,1958,187780.8348,64
2909,4,1,Rural,1981,304192.4246,41
1220,4,2,Rural,2014,84495.80018,8
2891,2,2,Rural,2014,328807.3896,8
1533,4,3,Urban,1973,159599.0029,49
1691,2,1,Suburb,2015,278434.8474,7
2971,2,1,Urban,2006,265207.4546,16
2390,4,1,Urban,1967,362595.3077,55
1931,4,2,Urban,1977,166078.0528,45
1840,2,3,Urban,1984,161716.1985,38
2766,4,2,Urban,2015,357940.7286,7
2010,3,3,Urban,1951,276395.5629,71
2938,2,3,Rural,1960,299372.332,62
2573,5,1,Urban,2009,275874.5236,13
1581,2,3,Suburb,2010,144219.9663,12
2139,4,1,Suburb,2014,211877.2748,8
1238,4,2,Rural,1977,202087.0174,45
2358,2,2,Suburb,1976,313696.5894,46
1440,2,3,Urban,1961,225947.2586,61
1147,5,1,Suburb,1988,189382.9105,34
2032,5,1,Rural,2010,274458.8937,12
2311,2,2,Rural,2000,282878.0938,22
1387,4,3,Suburb,2004,82390.10398,18
2073,2,1,Urban,1995,159393.8836,27
2873,3,1,Suburb,1963,266012.6497,59
2540,3,3,Rural,1981,241625.8053,41
1915,4,2,Urban,1956,353402.624,66
2878,2,1,Rural,1992,429118.7292,30
1637,2,1,Urban,2014,172772.7194,8
2610,3,3,Rural,1970,208060.2872,52
2700,2,3,Suburb,1979,184398.9669,43
1277,4,1,Urban,1975,184089.8067,47
2977,4,1,Rural,1992,360190.8296,30
2859,5,3,Rural,2010,354839.0491,12
1988,4,3,Rural,2001,249558.4132,21
2323,2,1,Suburb,2006,191682.1422,16
2825,2,3,Suburb,1979,313663.8729,43
1588,3,1,Rural,1987,255479.7307,35
2833,3,3,Rural,1972,198835.744,50
1648,4,1,Suburb,1985,123757.3955,37
1617,5,1,Suburb,1999,165863.7361,23
2630,2,3,Urban,1961,337496.9794,61
1134,5,2,Rural,1979,94381.05694,43
1579,2,1,Suburb,2003,252196.846,19
2170,4,2,Rural,1987,263575.7241,35
1489,4,2,Urban,2016,135825.8605,6
1477,3,3,Urban,1952,176523.2378,70
2182,5,1,Rural,1995,265316.8398,27
1383,3,2,Suburb,1999,164128.2751,23
1162,4,1,Urban,1975,187012.1505,47
1440,5,1,Rural,2012,196940.927,10
2876,2,2,Suburb,1978,181776.422,44
2212,3,2,Rural,2004,268119.6718,18
1414,4,1,Rural,2014,140547.4842,8
2362,2,2,Suburb,2021,266340.4005,1
2630,4,2,Rural,2011,306781.1198,11
2204,2,1,Rural,1984,188201.8214,38
1287,3,2,Suburb,2001,113367.3387,21
2857,2,2,Rural,2018,309474.2736,4
1186,5,1,Suburb,1950,130258.2842,72
2907,2,2,Suburb,1979,348050.0877,43
2161,4,3,Urban,2003,325377.8276,19
1129,2,1,Urban,2016,169686.4915,6
1193,3,3,Rural,1968,188967.6612,54
1315,4,1,Rural,2018,116086.6149,4
2808,4,3,Rural,1962,340154.392,60
2887,4,3,Suburb,2018,415164.6638,4
1143,4,2,Suburb,1989,90531.41343,33
1015,5,1,Urban,2018,66344.67791,4
2325,4,1,Urban,1999,282085.9661,23
1422,4,2,Rural,1953,301997.1638,69
1244,4,2,Suburb,1963,75114.23371,59
1926,3,3,Suburb,1965,175193.0568,57
2130,3,1,Suburb,2014,174965.5131,8
2111,4,2,Urban,1959,230377.6648,63
1128,5,2,Urban,1967,264243.9762,55
1906,2,3,Suburb,2009,238660.2217,13
1886,5,3,Suburb,1965,200694.2928,57
1340,4,2,Suburb,2013,165860.1643,9
1003,4,3,Rural,2009,130353.5402,13
2350,5,1,Suburb,2008,347488.1045,14
2433,4,3,Suburb,1965,166589.9931,57
2902,2,1,Urban,2011,290024.5766,11
1305,3,2,Suburb,1970,116721.1145,52
1907,2,2,Urban,1953,221685.145,69
1606,2,3,Urban,1987,208389.9909,35
2744,2,2,Urban,1973,300235.1173,49
2248,5,3,Suburb,2019,242807.1539,3
2994,5,3,Rural,1956,397428.4416,66
2371,2,3,Rural,2017,248171.2266,5
1991,5,3,Suburb,1985,238593.2546,37
1320,4,1,Urban,1980,157809.9428,42
1558,3,1,Urban,1963,233325.713,59
2204,5,2,Rural,1985,205291.5708,37
1617,5,3,Suburb,2013,191072.1951,9
1710,2,2,Urban,1993,85453.87339,29
2409,3,3,Suburb,2018,269849.822,4
2641,4,2,Suburb,2017,346118.1719,5
2815,4,1,Rural,1979,368325.5186,43
2795,3,2,Urban,1978,331892.1869,44
2131,4,3,Suburb,1975,276684.3541,47
1530,3,3,Rural,2014,204108.6783,8
1409,2,2,Urban,1988,223552.1146,34
2994,4,2,Urban,1975,439670.9472,47
2319,4,3,Rural,1958,253670.3223,64
1817,3,2,Rural,2021,149323.1174,1
2194,4,1,Urban,1991,197101.8797,31
2354,5,3,Rural,1999,212695.5486,23
1492,2,3,Suburb,1995,206710.0343,27
2218,4,1,Rural,2016,364608.6445,6
1011,4,2,Suburb,1975,163697.121,47
1194,4,1,Suburb,2021,108453.295,1
1489,3,3,Rural,1964,214059.6401,58
1794,2,1,Suburb,2009,181410.1431,13
1880,2,2,Rural,2021,275331.5685,1
1181,4,2,Suburb,1951,139816.8106,71
1961,4,3,Urban,1993,244513.3986,29
2840,3,3,Rural,1986,228222.5111,36
1655,2,1,Rural,1955,171565.5079,67
2921,5,2,Urban,1998,222084.5755,24
2339,4,1,Urban,2006,253037.3399,16
1693,5,3,Urban,1968,168760.79,54
1029,5,1,Urban,1969,224463.0568,53
2619,2,2,Rural,1981,323030.3203,41
2701,5,3,Suburb,2012,288781.7944,10
2819,4,1,Urban,2003,307995.3809,19
2816,4,1,Urban,2007,375703.5257,15
2119,3,2,Rural,1984,132450.1064,38
2404,2,2,Suburb,2000,268137.904,22
1777,2,1,Suburb,1953,139427.1129,69
1443,5,2,Rural,1962,240913.5364,60
1297,4,3,Rural,2018,134511.6598,4
1807,4,1,Suburb,1986,208778.1908,36
2760,3,1,Suburb,2000,328078.7933,22
1844,5,3,Rural,2012,287393.4934,10
2015,4,2,Urban,2007,258965.3457,15
2384,2,3,Urban,1960,365183.2901,62
2397,3,3,Suburb,1965,230954.6734,57
1553,2,1,Rural,1976,177624.1402,46
1302,3,3,Urban,1968,157721.5142,54
1420,2,2,Rural,1975,68480.98129,47
2269,5,1,Rural,2013,226713.6773,9
2743,4,2,Suburb,1984,308229.9415,38
2260,2,3,Rural,2016,91677.43402,6
2557,5,3,Rural,2017,230257.6206,5
1184,2,2,Rural,2014,136165.7252,8
1467,5,1,Suburb,2005,138348.0948,17
1753,3,3,Suburb,1952,197965.6776,70
1362,5,3,Suburb,1990,270541.9679,32
2306,2,3,Suburb,1977,225576.7292,45
2576,4,1,Suburb,1978,267761.5589,44
1335,3,1,Rural,2001,105022.4998,21
1161,3,3,Suburb,1958,230757.481,64
2183,5,1,Urban,1997,227069.0596,25
2497,2,2,Urban,1977,309652.9256,45
2624,5,3,Suburb,2018,277489.825,4
2345,3,2,Rural,1968,262546.3515,54
1011,4,1,Urban,2011,169450.7569,11
2447,5,1,Suburb,1961,226541.4075,61
2096,2,2,Suburb,2004,229008.1436,18
1587,5,1,Rural,2003,186009.6099,19
2881,5,3,Rural,2014,286214.0781,8
1200,5,2,Suburb,2011,154658.2516,11
1521,4,2,Urban,2015,282376.6257,7
2887,2,3,Rural,2004,352857.8435,18
1504,2,1,Suburb,1977,127781.5194,45
2761,3,2,Suburb,1968,335445.6511,54
2711,3,2,Suburb,1980,327623.5498,42
1787,5,3,Suburb,1959,164750.4541,63
2062,3,1,Suburb,1950,224720.8177,72
1059,2,2,Rural,1997,117973.9191,25
1577,5,1,Urban,1981,167729.9235,41
1320,3,2,Rural,2008,214012.9742,14
2458,4,1,Suburb,2013,199573.2342,9
2659,3,2,Rural,1962,193963.0513,60
2699,4,1,Rural,1979,355770.2432,43
2431,3,1,Rural,1994,220602.1255,28
1922,2,2,Urban,1991,278351.4011,31
2409,3,1,Suburb,1998,235288.7723,24
2694,4,1,Suburb,2019,262221.5572,3
1568,4,3,Rural,2012,232459.7496,10
2101,3,3,Rural,2002,277423.657,20
2217,5,3,Rural,1981,241061.0759,41
2308,4,3,Rural,1986,314652.6963,36
1526,2,1,Rural,1998,150152.7603,24
1523,3,2,Suburb,1954,218760.3111,68
1612,4,2,Urban,2018,191267.7633,4
2179,3,3,Rural,2010,259737.1014,12
2363,3,2,Urban,1981,270724.2459,41
1124,5,2,Rural,1967,75053.70924,55
1870,3,1,Rural,2006,189459.7352,16
1279,3,1,Urban,2015,118632.5865,7
1916,3,2,Rural,1984,283539.5602,38
2929,2,1,Urban,1977,251010.3016,45
1621,3,3,Suburb,1951,203814.2938,71
1845,2,3,Suburb,1956,152927.6148,66
2892,3,2,Suburb,1969,244763.5879,53
2681,5,2,Urban,2015,347259.9597,7
2751,5,3,Rural,1959,321239.9937,63
2933,4,2,Rural,1999,299789.8602,23
1673,3,2,Suburb,1962,170156.9123,60
2151,5,1,Urban,1997,248642.8772,25
1313,5,1,Suburb,1965,205368.8882,57
1331,3,3,Urban,1957,88388.61788,65
2173,4,3,Rural,1994,279727.2791,28
2477,2,3,Rural,1970,310950.8097,52
1035,5,3,Rural,1955,202539.56,67
2708,5,3,Suburb,1993,293454.9811,29
2443,2,1,Rural,2009,218715.864,13
2045,5,2,Urban,1975,295466.6019,47
1205,2,3,Urban,1961,205170.6695,61
1638,2,3,Suburb,1951,121689.3278,71
1847,4,1,Suburb,1988,288401.201,34
2980,2,1,Suburb,1988,268392.9939,34
2379,2,1,Urban,2020,313033.5108,2
1439,2,1,Rural,1962,172927.8069,60
1728,2,2,Urban,1978,199032.1422,44
2119,5,2,Suburb,1971,195098.6286,51
2952,2,1,Urban,1997,343169.5906,25
1940,5,1,Rural,1987,263821.7271,35
1163,3,3,Rural,2015,128658.7131,7
1147,3,2,Suburb,2005,77839.02762,17
2553,2,3,Urban,1977,183877.879,45
1293,4,1,Suburb,1962,197023.1789,60
1194,4,3,Suburb,2017,85998.69492,5
1662,5,1,Suburb,1951,126281.6195,71
1479,5,2,Suburb,1993,135797.0038,29
2900,3,3,Urban,1998,337505.2765,24
1122,5,3,Suburb,1969,241668.553,53
2423,4,3,Rural,1967,256707.7011,55
1698,3,2,Suburb,1957,149545.9492,65
